Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2006,,MÊS,,,,,,,,,,,,ANO - 2006 
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0323"
,,"0,0322","0,0346","0,0337","0,0275","0,0317","0,0306","0,0351","0,0336","0,0383","0,0360","0,0265","0,0280",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2007,,MÊS,,,,,,,,,,,,ANO - 2007
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0293"
,,"0,0229","0,0195","0,0195","0,0197","0,0161","0,0256","0,0310","0,0324","0,0355","0,0377","0,0406","0,0496",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2008,,MÊS,,,,,,,,,,,,ANO - 2008
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0484"
,,"0,0584","0,0668","0,0599","0,0453","0,0459","0,0521","0,0437","0,0425","0,0411","0,0438","0,0334","0,0477",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2009,,MÊS,,,,,,,,,,,,ANO - 2009
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0246"
,,"0,0281","0,0237","0,0247","0,0245","0,0405","0,0369","0,0241","0,0199","0,0162","0,0179","0,0181","0,0194",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2010,,MÊS,,,,,,,,,,,,ANO - 2010
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0512"
,,"0,0211","0,0280","0,0243","0,0238","0,0341","0,0506","0,0435","0,0774","0,0907","0,0817","0,0869","0,0532",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2011,,MÊS,,,,,,,,,,,,ANO - 2011
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0292"
,,"0,0262","0,0288","0,0208","0,0198","0,0270","0,0341","0,0308","0,0301","0,0273","0,0350","0,0356","0,0349",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2012,,MÊS,,,,,,,,,,,,ANO - 2012
,,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro,"0,0653"
,,"0,0294","0,0322","0,0405","0,0642","0,0620","0,0522","0,0394","0,0460","0,0783","0,0984","0,1247","0,1168",
,,,,,,,,,,,,,,
Fator Médio Mensal (tCO2/MWh),,,,,,,,,,,,,,Fator Médio Anual (tCO2/MWh)
2013,,MÊS,,,,,,,,,,,,ANO - 2013
